tag	roc_auc	pr_auc
genre---60s	0.7499	0.0107
genre---70s	0.7042	0.0081
genre---80s	0.6754	0.0143
genre---90s	0.5564	0.0075
genre---acidjazz	0.7628	0.0135
genre---alternative	0.7105	0.1588
genre---alternativerock	0.8193	0.0196
genre---ambient	0.7955	0.4217
genre---atmospheric	0.6995	0.0535
genre---blues	0.7862	0.0617
genre---bluesrock	0.8482	0.018
genre---bossanova	0.8163	0.0173
genre---breakbeat	0.7528	0.0195
genre---celtic	0.6903	0.0147
genre---chanson	0.8331	0.0396
genre---chillout	0.7382	0.1366
genre---choir	0.7563	0.018
genre---classical	0.9129	0.6134
genre---classicrock	0.7162	0.0104
genre---club	0.8177	0.0442
genre---contemporary	0.7869	0.0187
genre---country	0.8326	0.0408
genre---dance	0.8554	0.2522
genre---darkambient	0.8165	0.0729
genre---darkwave	0.666	0.0125
genre---deephouse	0.8665	0.04
genre---disco	0.7991	0.0343
genre---downtempo	0.7372	0.055
genre---drumnbass	0.8018	0.0376
genre---dub	0.7572	0.0274
genre---dubstep	0.8565	0.0745
genre---easylistening	0.7056	0.1665
genre---edm	0.8348	0.0237
genre---electronic	0.7908	0.5942
genre---electronica	0.7148	0.0133
genre---electropop	0.7094	0.0364
genre---ethno	0.6534	0.0163
genre---eurodance	0.8427	0.0273
genre---experimental	0.7309	0.2359
genre---folk	0.8601	0.251
genre---funk	0.7955	0.0699
genre---fusion	0.7302	0.0309
genre---groove	0.7113	0.0088
genre---grunge	0.9032	0.0802
genre---hard	0.7956	0.021
genre---hardrock	0.9187	0.0783
genre---hiphop	0.9074	0.5094
genre---house	0.8833	0.2752
genre---idm	0.7492	0.0194
genre---improvisation	0.6935	0.0232
genre---indie	0.8204	0.203
genre---industrial	0.8075	0.069
genre---instrumentalpop	0.7052	0.0621
genre---instrumentalrock	0.7983	0.0538
genre---jazz	0.811	0.2419
genre---jazzfusion	0.7436	0.0261
genre---latin	0.8049	0.0558
genre---lounge	0.751	0.108
genre---medieval	0.7173	0.0183
genre---metal	0.9094	0.3004
genre---minimal	0.6243	0.0164
genre---newage	0.7633	0.0942
genre---newwave	0.6751	0.0082
genre---orchestral	0.8578	0.2797
genre---pop	0.758	0.3027
genre---popfolk	0.8749	0.2222
genre---poprock	0.8231	0.1259
genre---postrock	0.7486	0.0236
genre---progressive	0.6451	0.0298
genre---psychedelic	0.6057	0.0162
genre---punkrock	0.9123	0.1095
genre---rap	0.9223	0.3519
genre---reggae	0.8871	0.2617
genre---rnb	0.8264	0.0579
genre---rock	0.8823	0.5485
genre---rocknroll	0.8807	0.0447
genre---singersongwriter	0.8843	0.1275
genre---soul	0.7768	0.0331
genre---soundtrack	0.7506	0.3472
genre---swing	0.7674	0.0144
genre---symphonic	0.8378	0.0892
genre---synthpop	0.6901	0.0182
genre---techno	0.8366	0.1867
genre---trance	0.8752	0.202
genre---triphop	0.7821	0.0848
genre---world	0.6482	0.0586
genre---worldfusion	0.6027	0.0059
